"ID respondenta";"UID respondenta";"Datum vyplnìní";"Délka vyplòování (s)";"QS parametry";"Pøi návštìvì kavárny je pro mì dùleité: zda je èi není káva vıbìrová.";"Pøi návštìvì kavárny je pro mì dùleité: zda je kavárna velká èi malá/útulná.";"Pøi návštìvì kavárny je pro mì dùleité: zda obsluha rozumí kávì.";"Pøi návštìvì kavárny je pro mì dùleité: chu kávy.";"Pøi návštìvì kavárny je pro mì dùleité: jestli se se mnou obsluha dá nebo nedá do øeèi.";"Pøi návštìvì kavárny je pro mì dùleité: jakı další sortiment kavárna nabízí (sladkosti/alkohol/...)";"Pøi návštìvì kavárny je pro mì dùleité: jestli a jakı má kavárna styl.";"Napadá Vás nìco dalšího, co je pro Vás velmi dùleité?";"Seøaïte parametry kavárny podle dùleitosti (1. nejdùleitìjší, 9. nedùleité) - chu kávy";"Seøaïte parametry kavárny podle dùleitosti (1. nejdùleitìjší, 9. nedùleité) - káva je/není vıbìrová";"Seøaïte parametry kavárny podle dùleitosti (1. nejdùleitìjší, 9. nedùleité) - obsluha se dá se mnou do øeèi";"Seøaïte parametry kavárny podle dùleitosti (1. nejdùleitìjší, 9. nedùleité) - velká/útulná kavárna";"Seøaïte parametry kavárny podle dùleitosti (1. nejdùleitìjší, 9. nedùleité) - stylovost kavárny";"Seøaïte parametry kavárny podle dùleitosti (1. nejdùleitìjší, 9. nedùleité) - další sortiment";"Seøaïte parametry kavárny podle dùleitosti (1. nejdùleitìjší, 9. nedùleité) - obsluha rozumí/nerozumí kávì";"Seøaïte parametry kavárny podle dùleitosti (1. nejdùleitìjší, 9. nedùleité) - mnou uvedené parametry v pøedchozí otázce";
"1";"5614091";"2018-11-19 10:28:40";"190";"ref=rss";"spíše souhlasím";"nevím";"souhlasím";"souhlasím";"spíše nesouhlasím";"spíše souhlasím";"nevím";"ne";"1";"4";"7";"6";"5";"3";"2";"8";
"2";"5616137";"2018-11-21 08:50:30";"1449";"";"spíše souhlasím";"spíše souhlasím";"souhlasím";"souhlasím";"spíše nesouhlasím";"spíše nesouhlasím";"nevím";"";"1";"3";"7";"5";"4";"8";"2";"6";
"3";"5616189";"2018-11-21 09:31:37";"73";"";"spíše nesouhlasím";"spíše souhlasím";"souhlasím";"souhlasím";"spíše nesouhlasím";"nevím";"spíše souhlasím";"";"1";"5";"6";"3";"4";"7";"2";"8";
"4";"5616383";"2018-11-21 12:19:09";"283";"";"spíše souhlasím";"spíše nesouhlasím";"souhlasím";"souhlasím";"spíše nesouhlasím";"souhlasím";"spíše souhlasím";"èistota, nabídka bezlaktózového a bezlepkového sortimentu kávy i obèerstvení, ochota obsluhy, klidné prostøedí (nevyhledávám kavárny s dìtskım koutkem a pøíliš ivım ruchem)";"1";"4";"7";"8";"6";"5";"3";"2";
"5";"5616390";"2018-11-21 12:23:49";"101";"";"nevím";"spíše souhlasím";"spíše souhlasím";"souhlasím";"spíše nesouhlasím";"spíše souhlasím";"spíše souhlasím";"";"1";"6";"7";"4";"5";"3";"2";"8";
"6";"5616416";"2018-11-21 12:39:33";"169";"";"souhlasím";"souhlasím";"souhlasím";"souhlasím";"souhlasím";"souhlasím";"spíše souhlasím";"";"1";"6";"4";"3";"5";"7";"2";"8";
"7";"5616515";"2018-11-21 13:43:45";"173";"ref=promoverejnyano";"nevím";"souhlasím";"souhlasím";"souhlasím";"nevím";"spíše souhlasím";"spíše souhlasím";"";"2";"5";"7";"4";"1";"6";"3";"8";
"8";"5616592";"2018-11-21 14:45:02";"98";"";"nesouhlasím";"spíše souhlasím";"nevím";"spíše souhlasím";"spíše nesouhlasím";"spíše nesouhlasím";"souhlasím";"";"3";"6";"8";"2";"1";"4";"5";"7";
"9";"5616657";"2018-11-21 15:54:13";"156";"ref=promoverejnyano";"nevím";"spíše nesouhlasím";"spíše nesouhlasím";"souhlasím";"nevím";"souhlasím";"souhlasím";"";"3";"6";"4";"7";"1";"2";"5";"8";
"10";"5616860";"2018-11-21 19:12:06";"62";"cz.vyplnto.app";"spíše nesouhlasím";"spíše souhlasím";"spíše nesouhlasím";"souhlasím";"nesouhlasím";"souhlasím";"souhlasím";"";"1";"6";"8";"2";"4";"3";"5";"7";
"11";"5617008";"2018-11-21 20:43:35";"92";"";"spíše nesouhlasím";"souhlasím";"souhlasím";"souhlasím";"nesouhlasím";"spíše nesouhlasím";"souhlasím";"";"1";"7";"6";"4";"3";"5";"2";"8";
"12";"5617234";"2018-11-22 08:12:32";"73";"ref=notice";"souhlasím";"spíše nesouhlasím";"spíše nesouhlasím";"souhlasím";"spíše nesouhlasím";"spíše souhlasím";"souhlasím";"";"2";"3";"7";"5";"1";"4";"6";"8";
"13";"5617294";"2018-11-22 09:55:59";"104";"";"spíše souhlasím";"souhlasím";"souhlasím";"souhlasím";"spíše nesouhlasím";"spíše nesouhlasím";"spíše souhlasím";"";"1";"3";"8";"2";"5";"6";"4";"7";
"14";"5617334";"2018-11-22 10:32:59";"418";"";"nesouhlasím";"spíše souhlasím";"spíše souhlasím";"souhlasím";"spíše nesouhlasím";"spíše souhlasím";"spíše souhlasím";"";"2";"4";"5";"3";"6";"7";"1";"8";
"15";"5617374";"2018-11-22 10:55:01";"131";"";"nesouhlasím";"spíše souhlasím";"spíše souhlasím";"souhlasím";"nesouhlasím";"spíše nesouhlasím";"spíše nesouhlasím";"Aby tam byl klid. ádné uøvané matky a jejich ujeèení pancharti. :)";"1";"5";"6";"4";"8";"7";"3";"2";
"16";"5617559";"2018-11-22 15:09:16";"148";"ref=promoverejnyne";"spíše nesouhlasím";"souhlasím";"spíše souhlasím";"souhlasím";"nesouhlasím";"nesouhlasím";"souhlasím";"";"1";"4";"7";"5";"2";"6";"3";"8";
"17";"5617799";"2018-11-22 19:15:05";"88";"ref=promox";"spíše nesouhlasím";"nesouhlasím";"spíše nesouhlasím";"souhlasím";"nesouhlasím";"spíše souhlasím";"spíše souhlasím";"";"1";"7";"8";"4";"3";"2";"5";"6";
"18";"5617856";"2018-11-22 20:04:16";"98";"";"spíše souhlasím";"spíše souhlasím";"spíše souhlasím";"souhlasím";"nevím";"souhlasím";"nevím";"";"1";"2";"8";"3";"6";"5";"4";"7";
"19";"5617898";"2018-11-22 20:50:53";"79";"";"spíše nesouhlasím";"spíše souhlasím";"spíše souhlasím";"souhlasím";"spíše souhlasím";"spíše nesouhlasím";"spíše nesouhlasím";"";"1";"7";"3";"2";"4";"6";"5";"8";
"20";"5617934";"2018-11-22 21:38:16";"136";"fbclid=IwAR2QrVrcnDlUpa2VE7Q7GW0tsqn5V-fqLifYwiESpCvh21j70IL7BQ4loeA";"souhlasím";"souhlasím";"souhlasím";"souhlasím";"souhlasím";"souhlasím";"souhlasím";"Nejdùleitìjší je, jestli obsluha umí projevit upøímnı zájem a usmát se";"1";"3";"4";"5";"7";"8";"6";"2";
"21";"5618094";"2018-11-23 08:20:11";"77";"";"spíše souhlasím";"souhlasím";"souhlasím";"souhlasím";"nevím";"spíše souhlasím";"spíše souhlasím";"";"4";"3";"7";"1";"5";"6";"2";"8";
"22";"5618398";"2018-11-23 17:38:18";"74";"fbclid=IwAR3Vigs-6u2kmrrCoVb1hrv0jiRwpkUfz3jo_noRNHD4QAcFZ0E52SEuLF4";"spíše souhlasím";"souhlasím";"souhlasím";"souhlasím";"spíše nesouhlasím";"spíše souhlasím";"spíše souhlasím";"";"2";"6";"8";"5";"4";"1";"3";"7";
"23";"5618543";"2018-11-23 21:33:57";"83";"";"spíše souhlasím";"spíše souhlasím";"spíše souhlasím";"spíše souhlasím";"spíše nesouhlasím";"spíše souhlasím";"spíše souhlasím";"";"1";"2";"7";"5";"3";"4";"6";"8";
"24";"5618569";"2018-11-23 22:21:53";"113";"";"nevím";"spíše nesouhlasím";"spíše nesouhlasím";"souhlasím";"spíše souhlasím";"spíše nesouhlasím";"spíše souhlasím";"";"1";"5";"4";"2";"3";"6";"7";"8";
"25";"5618914";"2018-11-24 16:20:45";"114";"";"souhlasím";"spíše souhlasím";"souhlasím";"souhlasím";"spíše nesouhlasím";"spíše souhlasím";"spíše souhlasím";"Atmosféra";"1";"6";"8";"7";"3";"5";"4";"2";
"26";"5618924";"2018-11-24 16:30:50";"161";"";"nesouhlasím";"souhlasím";"souhlasím";"souhlasím";"spíše souhlasím";"spíše nesouhlasím";"spíše souhlasím";"atmosféra, ceny";"1";"7";"5";"4";"8";"6";"3";"2";
"27";"5618966";"2018-11-24 17:42:27";"62";"";"spíše nesouhlasím";"spíše souhlasím";"spíše souhlasím";"souhlasím";"spíše nesouhlasím";"spíše souhlasím";"spíše nesouhlasím";"";"2";"3";"5";"7";"8";"4";"6";"1";
"28";"5619071";"2018-11-24 20:56:20";"112";"";"nesouhlasím";"souhlasím";"souhlasím";"souhlasím";"nesouhlasím";"spíše nesouhlasím";"spíše nesouhlasím";"";"1";"3";"7";"5";"4";"6";"2";"8";
"29";"5619101";"2018-11-24 21:54:22";"89";"";"spíše nesouhlasím";"spíše souhlasím";"souhlasím";"souhlasím";"nevím";"nevím";"nesouhlasím";"Jak na mì kavárna obecnì pùsobí";"1";"8";"7";"4";"6";"5";"2";"3";
"30";"5619104";"2018-11-24 21:57:14";"111";"";"spíše nesouhlasím";"souhlasím";"spíše nesouhlasím";"spíše souhlasím";"spíše nesouhlasím";"souhlasím";"spíše souhlasím";"cena, lokalita";"6";"8";"4";"2";"1";"5";"7";"3";
"31";"5619167";"2018-11-25 02:14:30";"39402";"ref=promox";"spíše souhlasím";"spíše souhlasím";"spíše souhlasím";"spíše souhlasím";"nevím";"souhlasím";"souhlasím";"Vyhovuje mi intimní prostøedí, pøítmí, tmavé zdi, tmavı nábytek, velmi dùleitá je pohodlnost sezení, velikost stolu, upøednostòuji koberce, teplo";"8";"2";"1";"4";"5";"6";"3";"7";
"32";"5619281";"2018-11-25 11:00:36";"97";"";"spíše souhlasím";"spíše souhlasím";"spíše souhlasím";"souhlasím";"spíše nesouhlasím";"spíše souhlasím";"nevím";"";"1";"2";"7";"4";"5";"6";"3";"8";
"33";"5619512";"2018-11-25 17:07:57";"66";"fbclid=IwAR3gee49RvWkgmIZ-UzqsIBz3dIcRnormrcpdVSqfbOi5uWoLJZ76ZWe15s";"nesouhlasím";"spíše souhlasím";"nevím";"spíše souhlasím";"nesouhlasím";"spíše souhlasím";"spíše souhlasím";"";"3";"7";"6";"4";"1";"2";"5";"8";
"34";"5619733";"2018-11-25 21:46:48";"219";"";"spíše nesouhlasím";"spíše nesouhlasím";"spíše souhlasím";"spíše nesouhlasím";"spíše souhlasím";"souhlasím";"nesouhlasím";"";"5";"6";"2";"7";"8";"1";"3";"4";
"35";"5619817";"2018-11-26 01:48:05";"398";"";"nesouhlasím";"spíše souhlasím";"spíše nesouhlasím";"nevím";"spíše nesouhlasím";"spíše nesouhlasím";"spíše souhlasím";"Osobní zkušenost nebo jestli se jedná i o oblíbené místo";"4";"7";"6";"5";"3";"2";"8";"1";
"36";"5619858";"2018-11-26 07:42:44";"106";"ref=promoverejnyano";"spíše nesouhlasím";"souhlasím";"souhlasím";"souhlasím";"nesouhlasím";"souhlasím";"spíše souhlasím";"";"1";"7";"8";"2";"4";"3";"6";"5";
"37";"5619963";"2018-11-26 10:02:59";"61";"ref=notice";"souhlasím";"spíše nesouhlasím";"souhlasím";"souhlasím";"spíše souhlasím";"spíše nesouhlasím";"spíše souhlasím";"";"2";"1";"5";"8";"7";"4";"3";"6";
"38";"5620023";"2018-11-26 11:32:44";"91";"";"nesouhlasím";"souhlasím";"spíše souhlasím";"souhlasím";"nesouhlasím";"souhlasím";"nesouhlasím";"nepùjdu dobrovolnì do kavárny, do které je zakázanı vstup psù";"2";"7";"8";"5";"6";"3";"4";"1";
"39";"5620037";"2018-11-26 11:45:13";"363";"";"spíše nesouhlasím";"spíše souhlasím";"nevím";"nevím";"spíše nesouhlasím";"spíše souhlasím";"souhlasím";"";"4";"7";"6";"2";"1";"3";"5";"8";
"40";"5620091";"2018-11-26 12:43:37";"76";"ref=promoverejnyano";"souhlasím";"souhlasím";"souhlasím";"souhlasím";"souhlasím";"souhlasím";"souhlasím";"";"5";"6";"2";"3";"4";"7";"1";"8";
"41";"5620195";"2018-11-26 14:04:37";"187";"";"nevím";"souhlasím";"souhlasím";"souhlasím";"spíše souhlasím";"spíše souhlasím";"spíše souhlasím";"";"1";"2";"4";"6";"5";"8";"3";"7";
"42";"5620282";"2018-11-26 16:40:03";"135";"";"spíše nesouhlasím";"souhlasím";"nevím";"spíše souhlasím";"spíše souhlasím";"nesouhlasím";"spíše nesouhlasím";"";"2";"8";"3";"1";"6";"5";"4";"7";
"43";"5620296";"2018-11-26 16:53:53";"75";"";"spíše nesouhlasím";"souhlasím";"spíše souhlasím";"souhlasím";"spíše souhlasím";"nevím";"spíše souhlasím";"";"2";"5";"6";"1";"4";"7";"3";"8";
"44";"5620331";"2018-11-26 17:33:57";"96";"";"souhlasím";"spíše nesouhlasím";"spíše souhlasím";"souhlasím";"nesouhlasím";"spíše souhlasím";"nesouhlasím";"";"1";"2";"7";"6";"5";"3";"4";"8";
"45";"5620403";"2018-11-26 19:18:33";"122";"";"nevím";"spíše souhlasím";"spíše souhlasím";"souhlasím";"spíše souhlasím";"spíše souhlasím";"spíše souhlasím";"";"1";"7";"4";"2";"8";"5";"6";"3";
"46";"5620532";"2018-11-26 21:08:31";"76";"";"souhlasím";"souhlasím";"souhlasím";"souhlasím";"spíše souhlasím";"spíše nesouhlasím";"spíše nesouhlasím";"";"8";"5";"1";"6";"4";"2";"7";"3";
"47";"5620583";"2018-11-26 21:51:19";"71";"";"nevím";"spíše souhlasím";"souhlasím";"souhlasím";"spíše souhlasím";"spíše nesouhlasím";"spíše souhlasím";"";"1";"5";"7";"3";"4";"6";"2";"8";
"48";"5620894";"2018-11-27 11:18:38";"89";"";"spíše souhlasím";"spíše souhlasím";"souhlasím";"souhlasím";"spíše nesouhlasím";"spíše nesouhlasím";"spíše nesouhlasím";"";"1";"6";"7";"4";"3";"5";"2";"8";
"49";"5620952";"2018-11-27 12:03:47";"81";"";"nevím";"souhlasím";"souhlasím";"souhlasím";"nevím";"spíše souhlasím";"spíše souhlasím";"";"2";"4";"8";"3";"7";"6";"5";"1";
"50";"5620960";"2018-11-27 12:07:42";"181";"";"nesouhlasím";"nesouhlasím";"spíše souhlasím";"spíše souhlasím";"nesouhlasím";"spíše nesouhlasím";"spíše souhlasím";"";"1";"6";"5";"3";"2";"7";"4";"8";
"51";"5621158";"2018-11-27 14:26:16";"73";"";"nevím";"souhlasím";"spíše souhlasím";"souhlasím";"nevím";"spíše nesouhlasím";"souhlasím";"";"1";"4";"6";"2";"3";"5";"7";"8";
"52";"5621227";"2018-11-27 15:20:46";"166";"";"souhlasím";"spíše nesouhlasím";"souhlasím";"souhlasím";"spíše nesouhlasím";"spíše nesouhlasím";"spíše souhlasím";"e je bohuel velice málo kaváren s kávou Dallmayr a Burghof...";"1";"3";"7";"5";"4";"6";"2";"8";
"53";"5621380";"2018-11-27 19:41:03";"171";"";"spíše souhlasím";"souhlasím";"nevím";"souhlasím";"nesouhlasím";"souhlasím";"souhlasím";"";"1";"5";"8";"2";"4";"3";"7";"6";
"54";"5621583";"2018-11-27 22:25:53";"75";"";"nesouhlasím";"spíše souhlasím";"spíše souhlasím";"souhlasím";"nesouhlasím";"spíše souhlasím";"spíše nesouhlasím";"aby se dlouho neèekalo";"1";"6";"8";"7";"4";"3";"2";"5";
"55";"5621620";"2018-11-27 22:52:27";"290";"";"spíše souhlasím";"souhlasím";"spíše souhlasím";"souhlasím";"spíše nesouhlasím";"spíše souhlasím";"souhlasím";"Pøi návštìvì kavárny je pro mì dùleité zda je personál pøíjemnı a vstøícnı.";"6";"4";"8";"2";"1";"5";"7";"3";
"56";"5621665";"2018-11-28 00:01:17";"139";"";"spíše souhlasím";"nesouhlasím";"souhlasím";"souhlasím";"nesouhlasím";"nesouhlasím";"nesouhlasím";"Latte art (!)";"1";"4";"6";"7";"5";"8";"3";"2";
"57";"5621914";"2018-11-28 10:41:34";"158";"";"nevím";"souhlasím";"spíše souhlasím";"souhlasím";"souhlasím";"souhlasím";"souhlasím";"prostì musí mít duši";"3";"7";"8";"2";"5";"4";"6";"1";
"58";"5621924";"2018-11-28 10:47:26";"106";"";"spíše souhlasím";"souhlasím";"souhlasím";"souhlasím";"nesouhlasím";"nesouhlasím";"souhlasím";"";"1";"3";"7";"4";"2";"6";"5";"8";
"59";"5622063";"2018-11-28 11:34:25";"167";"ref=promo5";"spíše souhlasím";"souhlasím";"spíše souhlasím";"spíše souhlasím";"nevím";"spíše nesouhlasím";"spíše souhlasím";"Jak je obsluha ochotná";"1";"2";"5";"7";"4";"8";"3";"6";
"60";"5622078";"2018-11-28 11:47:25";"170";"";"spíše souhlasím";"nevím";"spíše souhlasím";"souhlasím";"spíše souhlasím";"nesouhlasím";"spíše nesouhlasím";"";"1";"3";"5";"2";"6";"7";"4";"8";
"61";"5622231";"2018-11-28 14:00:09";"144";"";"spíše nesouhlasím";"spíše souhlasím";"spíše souhlasím";"souhlasím";"spíše souhlasím";"spíše souhlasím";"souhlasím";"";"1";"7";"6";"3";"2";"5";"4";"8";
"62";"5622391";"2018-11-28 16:18:42";"119";"";"nesouhlasím";"spíše souhlasím";"nesouhlasím";"souhlasím";"souhlasím";"spíše nesouhlasím";"nevím";"";"8";"3";"7";"6";"1";"5";"2";"4";
"63";"5622526";"2018-11-28 17:48:50";"108";"";"spíše souhlasím";"souhlasím";"souhlasím";"souhlasím";"spíše souhlasím";"souhlasím";"souhlasím";"Kvalita kávy - jak je našlehaná pìna, jestli chutná tak jak má, latteart";"1";"8";"6";"4";"3";"7";"5";"2";
"64";"5622534";"2018-11-28 17:54:12";"105";"";"nesouhlasím";"spíše souhlasím";"spíše souhlasím";"souhlasím";"spíše nesouhlasím";"spíše nesouhlasím";"spíše souhlasím";"cena";"1";"6";"7";"3";"2";"8";"4";"5";
"65";"5622750";"2018-11-28 21:50:07";"122";"fbclid=IwAR1oTNBrINKZH0KjUHyjJdTV5OVqlPRozwDptQi7cVLyObjiBQd5Gmlp8xU";"spíše nesouhlasím";"souhlasím";"spíše nesouhlasím";"spíše souhlasím";"spíše nesouhlasím";"spíše souhlasím";"spíše souhlasím";"";"1";"3";"8";"2";"7";"4";"5";"6";
"66";"5622763";"2018-11-28 22:28:38";"242";"";"nevím";"souhlasím";"spíše souhlasím";"spíše souhlasím";"spíše souhlasím";"souhlasím";"souhlasím";"";"2";"6";"3";"1";"7";"4";"8";"5";
"67";"5622780";"2018-11-28 23:28:44";"369";"";"souhlasím";"souhlasím";"souhlasím";"souhlasím";"spíše souhlasím";"spíše souhlasím";"spíše souhlasím";"Uvítám monost namletí kávy.";"1";"2";"4";"5";"8";"7";"3";"6";
"68";"5622962";"2018-11-29 10:51:38";"103";"";"spíše souhlasím";"spíše souhlasím";"spíše souhlasím";"souhlasím";"spíše nesouhlasím";"spíše souhlasím";"souhlasím";"prostøedí, pohodlí, vùnì kávy, vzhled, servírování, cena";"1";"4";"8";"5";"2";"7";"6";"3";
"69";"5623482";"2018-11-29 20:49:22";"139";"";"spíše nesouhlasím";"spíše nesouhlasím";"spíše souhlasím";"spíše souhlasím";"souhlasím";"spíše souhlasím";"spíše souhlasím";"";"7";"8";"6";"2";"4";"1";"5";"3";
"70";"5623570";"2018-11-30 05:24:22";"240";"";"nevím";"spíše souhlasím";"souhlasím";"souhlasím";"spíše nesouhlasím";"spíše souhlasím";"spíše souhlasím";"Znaèka kávy, druh kávy. Kadı milovník kávy má svou oblíbenou a zaila jsem, e byla v kavárnì jen jedna znaèka kávy.";"1";"5";"8";"2";"3";"6";"7";"4";
"71";"5623788";"2018-11-30 13:49:38";"111";"";"nevím";"spíše souhlasím";"spíše souhlasím";"spíše souhlasím";"spíše nesouhlasím";"spíše nesouhlasím";"nevím";"do ksvírny U nechodím";"1";"5";"4";"7";"3";"8";"6";"2";
"72";"5623897";"2018-11-30 17:21:03";"105";"";"nevím";"spíše souhlasím";"souhlasím";"souhlasím";"spíše nesouhlasím";"spíše souhlasím";"souhlasím";"";"2";"6";"8";"3";"4";"5";"1";"7";
"73";"5624036";"2018-12-01 02:42:14";"132";"";"spíše nesouhlasím";"spíše nesouhlasím";"spíše souhlasím";"souhlasím";"spíše souhlasím";"spíše souhlasím";"souhlasím";"";"2";"6";"7";"4";"1";"5";"3";"8";
"74";"5624208";"2018-12-01 19:42:01";"115";"fbclid=IwAR0ZGMWF-HRe4cxc049alHiO-0lKdkmECuFQ7eYBUcw2w0SR3mSahne1SJc";"spíše souhlasím";"souhlasím";"souhlasím";"souhlasím";"spíše souhlasím";"souhlasím";"spíše souhlasím";"";"2";"7";"5";"1";"4";"6";"3";"8";
"75";"5624578";"2018-12-02 13:04:36";"190";"";"spíše souhlasím";"souhlasím";"spíše souhlasím";"souhlasím";"spíše nesouhlasím";"souhlasím";"spíše nesouhlasím";"Pøíjemná obsluha je základ..";"2";"5";"6";"8";"7";"3";"4";"1";
"76";"5624678";"2018-12-02 17:09:53";"325";"ref=promoverejnyano";"nesouhlasím";"spíše souhlasím";"nevím";"spíše souhlasím";"nesouhlasím";"souhlasím";"spíše nesouhlasím";"";"2";"7";"8";"3";"6";"1";"5";"4";
"77";"5624736";"2018-12-02 19:27:30";"133";"";"spíše nesouhlasím";"spíše nesouhlasím";"spíše nesouhlasím";"souhlasím";"spíše nesouhlasím";"souhlasím";"spíše nesouhlasím";"";"1";"5";"8";"7";"3";"2";"6";"4";
"78";"5624745";"2018-12-02 19:33:26";"94";"";"souhlasím";"souhlasím";"souhlasím";"souhlasím";"spíše souhlasím";"spíše souhlasím";"souhlasím";"";"2";"3";"8";"7";"1";"5";"6";"4";
"79";"5624847";"2018-12-02 22:10:21";"107";"";"nevím";"nevím";"nevím";"nevím";"nevím";"nevím";"nevím";"";"5";"1";"6";"2";"3";"8";"7";"4";
